FALCO_VERSION,FALCO_ENGINE_VERSION,FALCOSECURITY_LIBS_VERSION,DRIVER_VERSION,PLUGIN_API_VERSION,FALCOCTL_VERSION
0.40.0,0.46.0,0.20.0,8.0.0+driver,3.10.0,0.11.0
0.40.0-rc1,0.46.0,0.20.0,8.0.0+driver,3.10.0,0.10.1
0.39.2,0.43.0,0.18.2,7.3.0+driver,3.7.0,0.10.1
0.39.1,0.43.0,0.18.1,7.3.0+driver,3.7.0,0.10.0
0.39.1-rc1,0.43.0,0.18.1,7.3.0+driver,3.7.0,0.10.0
0.39.0,0.43.0,0.18.1,7.3.0+driver,3.7.0,0.10.0
0.39.0-rc3,0.43.0,0.18.0,7.3.0+driver,3.7.0,0.10.0
0.39.0-rc2,0.43.0,0.18.0,7.3.0+driver,3.7.0,0.10.0
0.39.0-rc1,0.43.0,0.18.0-rc2,0.18.0-rc2,3.7.0,0.10.0
0.38.2,0.40.0,0.17.3,7.2.1+driver,3.6.0,0.9.0
0.38.2-rc2,0.40.0,0.17.3-rc2,7.2.1+driver,3.6.0,0.9.0
0.38.2-rc1,0.40.0,0.17.3-rc2,7.2.1+driver,3.6.0,0.8.0
0.38.1,0.40.0,0.17.2,7.2.0+driver,3.6.0,0.8.0
0.38.1-rc1,0.40.0,0.17.2,7.2.0+driver,3.6.0,0.8.0
0.38.0,0.40.0,0.17.1,7.2.0+driver,3.5.0,0.8.0
0.38.0-rc5,0.40.0,0.17.1,7.2.0+driver,3.5.0,0.8.0
0.38.0-rc4,0.40.0,0.17.0,7.2.0+driver,3.5.0,0.8.0-rc6
0.38.0-rc3,0.40.0,0.17.0-rc2,0.17.0-rc2,3.5.0,0.8.0-rc6
0.38.0-rc2,0.40.0,0.17.0-rc1,0.17.0-rc1,3.5.0,0.8.0-rc6
0.38.0-rc1,0.40.0,0.17.0-rc1,0.17.0-rc1,3.5.0,0.8.0-rc6
0.37.1,0.31.0,0.14.3,7.0.0+driver,3.2.0,0.7.2
0.37.1-rc1,0.31.0,0.14.3,7.0.0+driver,3.2.0,0.7.2
0.37.0,0.31.0,0.14.2,7.0.0+driver,3.2.0,0.7.1
0.37.0-rc3,0.31.0,0.14.2,7.0.0+driver,3.2.0,0.7.1
0.37.0-rc2,0.31.0,0.14.1,7.0.0+driver,3.2.0,0.7.1
0.37.0-rc1,0.31.0,0.14.1,7.0.0+driver,3.2.0,0.7.0
0.36.2,26,0.13.4,6.0.1+driver,3.1.0,0.6.2
0.36.2-rc1,26,0.13.3,6.0.1+driver,3.1.0,0.6.2
0.36.1,26,0.13.2,6.0.1+driver,3.1.0,0.6.2
0.36.1-rc1,26,0.13.2-rc1,6.0.1+driver,3.1.0,0.6.2
